Nombre,Modulo,Valor
Stacey Gilbert,L1,1
Stacey Gilbert,L2,1
Stacey Gilbert,L3,0
Stacey Gilbert,M1,1
Stacey Gilbert,M2,1
Stacey Gilbert,M3,0
Stacey Gilbert,W1,0
Stacey Gilbert,W2,0
Stacey Gilbert,W3,1
Stacey Gilbert,J1,0
Stacey Gilbert,J2,1
Stacey Gilbert,J3,0
Stacey Gilbert,V1,1
Stacey Gilbert,V2,0
Stacey Gilbert,V3,1
Veronica Berry,L1,1
Veronica Berry,L2,1
Veronica Berry,L3,1
Veronica Berry,M1,1
Veronica Berry,M2,0
Veronica Berry,M3,0
Veronica Berry,W1,1
Veronica Berry,W2,1
Veronica Berry,W3,1
Veronica Berry,J1,1
Veronica Berry,J2,1
Veronica Berry,J3,0
Veronica Berry,V1,1
Veronica Berry,V2,1
Veronica Berry,V3,0
Julie Thomas,L1,1
Julie Thomas,L2,1
Julie Thomas,L3,0
Julie Thomas,M1,0
Julie Thomas,M2,0
Julie Thomas,M3,1
Julie Thomas,W1,1
Julie Thomas,W2,0
Julie Thomas,W3,1
Julie Thomas,J1,1
Julie Thomas,J2,1
Julie Thomas,J3,0
Julie Thomas,V1,1
Julie Thomas,V2,0
Julie Thomas,V3,0
